query_image,question,options,answer,template_image,mask
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. How does the defect manifest on the bottle?,"A: It spans a small portion of the mouth's circumference.
B: It has caused a noticeable chipping or shattering of the material around the mouth.
C: It creates a bulge on the neck of the bottle.
D: It causes a discoloration in the material.",B,MVTec-AD/bottle/train/good/146.png,DS-MVTec/bottle/image/rbg_mask/broken_large/007_rbg_mask.png
DS-MVTec/bottle/image/broken_large/008.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/077.png,DS-MVTec/bottle/image/rbg_mask/broken_large/008_rbg_mask.png
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the type of the defect?,"A: Structural damage.
B: Label misprint.
C: Color mismatch.
D: Foreign object contamination.",A,MVTec-AD/bottle/train/good/077.png,DS-MVTec/bottle/image/rbg_mask/broken_large/008_rbg_mask.png
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. Where is the defect?,"A: Bottom center of the image.
B: Left side of the image.
C: Right side of the image.
D: Top center of the image.",A,MVTec-AD/bottle/train/good/077.png,DS-MVTec/bottle/image/rbg_mask/broken_large/008_rbg_mask.png
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the appearance of the defect?,"A: A smudge on the glass.
B: A crack along the side.
C: Significant breakage with jagged edges.
D: A dent on the surface.",C,MVTec-AD/bottle/train/good/077.png,DS-MVTec/bottle/image/rbg_mask/broken_large/008_rbg_mask.png
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What distinguishes the damaged area from the rest of the bottle's edge?,"A: It has jagged edges and an irregular surface.
B: It is covered with a label.
C: It is perfectly smooth.
D: It has a reflective surface.",A,MVTec-AD/bottle/train/good/077.png,DS-MVTec/bottle/image/rbg_mask/broken_large/008_rbg_mask.png
DS-MVTec/bottle/image/broken_large/009.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/031.png,DS-MVTec/bottle/image/rbg_mask/broken_large/009_rbg_mask.png
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the type of the defect?,"A: Discoloration.
B: Deformation.
C: Scratch.
D: Breakage.",D,MVTec-AD/bottle/train/good/031.png,DS-MVTec/bottle/image/rbg_mask/broken_large/009_rbg_mask.png
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the appearance of the defect?,"A: A small dent.
B: A jagged and irregular area.
C: A smooth and round spot.
D: A straight crack.",B,MVTec-AD/bottle/train/good/031.png,DS-MVTec/bottle/image/rbg_mask/broken_large/009_rbg_mask.png
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. How does the defect compare to the normal sample?,"A: The defect is smaller than the normal sample.
B: The defect shows a discoloration compared to the normal sample.
C: The defect is identical to the normal sample.
D: The defect has an irregularity that differs from the intact and uniform edge seen in the normal sample.",D,MVTec-AD/bottle/train/good/031.png,DS-MVTec/bottle/image/rbg_mask/broken_large/009_rbg_mask.png
DS-MVTec/bottle/image/broken_large/010.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/113.png,DS-MVTec/bottle/image/rbg_mask/broken_large/010_rbg_mask.png
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the type of the defect?,"A: Scratch.
B: Breakage.
C: Discoloration.
D: Deformation.",B,MVTec-AD/bottle/train/good/113.png,DS-MVTec/bottle/image/rbg_mask/broken_large/010_rbg_mask.png
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. Where is the defect?,"A: At the bottom.
B: On the right side.
C: On the left side.
D: At the top.",C,MVTec-AD/bottle/train/good/113.png,DS-MVTec/bottle/image/rbg_mask/broken_large/010_rbg_mask.png
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the appearance of the defect?,"A: Regular and smooth.
B: Circular and consistent.
C: Thin and straight.
D: Irregular and jagged.",D,MVTec-AD/bottle/train/good/113.png,DS-MVTec/bottle/image/rbg_mask/broken_large/010_rbg_mask.png
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What can be inferred about the defect's effect on the bottle?,"A: It has no effect on the bottle's function.
B: It interrupts the smooth contour and could affect the bottle's integrity.
C: It improves the bottle's appearance.
D: It makes the bottle easier to open.",B,MVTec-AD/bottle/train/good/113.png,DS-MVTec/bottle/image/rbg_mask/broken_large/010_rbg_mask.png
DS-MVTec/bottle/image/broken_large/011.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/011_rbg_mask.png
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the type of the defect?,"A: Scratch.
B: Discoloration.
C: Dent.
D: Broken large.",D,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/011_rbg_mask.png
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. Where is the defect?,"A: Right side.
B: Bottom center.
C: Top center.
D: Left side.",B,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/011_rbg_mask.png
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the appearance of the defect?,"A: A crack.
B: A stain.
C: Jagged edges where the material is missing.
D: A small hole.",C,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/011_rbg_mask.png
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the likely cause of the defect?,"A: Manufacturing error.
B: Strong impact or pressure.
C: Chemical reaction.
D: Wear over time.",B,MVTec-AD/bottle/train/good/001.png,DS-MVTec/bottle/image/rbg_mask/broken_large/011_rbg_mask.png
DS-MVTec/bottle/image/broken_large/012.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/159.png,DS-MVTec/bottle/image/rbg_mask/broken_large/012_rbg_mask.png
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the type of the defect?,"A: Dent.
B: Broken large.
C: Scratch.
D: Stain.",B,MVTec-AD/bottle/train/good/159.png,DS-MVTec/bottle/image/rbg_mask/broken_large/012_rbg_mask.png
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. Where is the defect?,"A: Top left.
B: Bottom right.
C: Center right.
D: Bottom left.",C,MVTec-AD/bottle/train/good/159.png,DS-MVTec/bottle/image/rbg_mask/broken_large/012_rbg_mask.png
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the appearance of the defect?,"A: A small puncture.
B: A faded coloration.
C: A large, jagged area.
D: A smooth, round indentation.",C,MVTec-AD/bottle/train/good/159.png,DS-MVTec/bottle/image/rbg_mask/broken_large/012_rbg_mask.png
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. How does the defect affect the object?,"A: It emits an odor.
B: It changes the weight of the object.
C: It disrupts the circular contour of the collar.
D: It causes leakage.",C,MVTec-AD/bottle/train/good/159.png,DS-MVTec/bottle/image/rbg_mask/broken_large/012_rbg_mask.png
DS-MVTec/bottle/image/broken_large/013.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/114.png,DS-MVTec/bottle/image/rbg_mask/broken_large/013_rbg_mask.png
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the type of the defect?,"A: A break or chip.
B: Deformation.
C: Scratches on the surface.
D: Discoloration.",A,MVTec-AD/bottle/train/good/114.png,DS-MVTec/bottle/image/rbg_mask/broken_large/013_rbg_mask.png
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the appearance of the defect?,"A: A small dent.
B: A stain.
C: Irregular, jagged edges.
D: A smooth indentation.",C,MVTec-AD/bottle/train/good/114.png,DS-MVTec/bottle/image/rbg_mask/broken_large/013_rbg_mask.png
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What impact does the defect have on the object?,"A: It prevents the bottle from standing upright.
B: It makes the bottle heavier.
C: It interrupts the smooth circular outline of the bottle's opening.
D: It changes the color of the bottle.",C,MVTec-AD/bottle/train/good/114.png,DS-MVTec/bottle/image/rbg_mask/broken_large/013_rbg_mask.png
DS-MVTec/bottle/image/broken_large/014.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/014_rbg_mask.png
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the type of the defect?,"A: Breakage.
B: Stain.
C: Discoloration.
D: Crack.",A,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/014_rbg_mask.png
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. Where is the defect?,"A: On the left side of the opening.
B: On the right side of the opening.
C: On the bottom of the bottle.
D: At the center of the bottle.",A,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/014_rbg_mask.png
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the appearance of the defect?,"A: A discoloration patch.
B: A significant chip or break.
C: A circular stain.
D: A small scratch.",B,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/014_rbg_mask.png
DS-MVTec/bottle/image/broken_large/015.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/047.png,DS-MVTec/bottle/image/rbg_mask/broken_large/015_rbg_mask.png
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the type of the defect?,"A: A large break or crack.
B: A dent.
C: A scratch.
D: A stain.",A,MVTec-AD/bottle/train/good/047.png,DS-MVTec/bottle/image/rbg_mask/broken_large/015_rbg_mask.png
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. Where is the defect?,"A: On the cap of the bottle.
B: At the bottom of the bottle.
C: On the left side of the bottle opening.
D: On the right side of the bottle opening.",D,MVTec-AD/bottle/train/good/047.png,DS-MVTec/bottle/image/rbg_mask/broken_large/015_rbg_mask.png
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the appearance of the defect?,"A: Jagged edges.
B: A circular hole.
C: A discoloration.
D: A smooth line.",A,MVTec-AD/bottle/train/good/047.png,DS-MVTec/bottle/image/rbg_mask/broken_large/015_rbg_mask.png
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. How does the defect affect the bottle's appearance?,"A: It interrupts the smooth circular contour of the finish.
B: It changes the color of the bottle.
C: It makes the bottle look larger.
D: It adds decorative patterns to the bottle.",A,MVTec-AD/bottle/train/good/047.png,DS-MVTec/bottle/image/rbg_mask/broken_large/015_rbg_mask.png
DS-MVTec/bottle/image/broken_large/016.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/160.png,DS-MVTec/bottle/image/rbg_mask/broken_large/016_rbg_mask.png
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the type of the defect?,"A: Stain.
B: Discoloration.
C: Scratch.
D: Broken large.",D,MVTec-AD/bottle/train/good/160.png,DS-MVTec/bottle/image/rbg_mask/broken_large/016_rbg_mask.png
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. Where is the defect?,"A: Around the edges.
B: Around the center.
C: On the side.
D: At the bottom.",B,MVTec-AD/bottle/train/good/160.png,DS-MVTec/bottle/image/rbg_mask/broken_large/016_rbg_mask.png
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the appearance of the defect?,"A: A small dent.
B: Jagged edges.
C: A crack with clean edges.
D: A uniform hole.",B,MVTec-AD/bottle/train/good/160.png,DS-MVTec/bottle/image/rbg_mask/broken_large/016_rbg_mask.png
DS-MVTec/bottle/image/broken_large/017.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/168.png,DS-MVTec/bottle/image/rbg_mask/broken_large/017_rbg_mask.png
DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the type of the defect?,"A: Scratch.
B: Discoloration.
C: Stain.
D: Broken large.",D,MVTec-AD/bottle/train/good/168.png,DS-MVTec/bottle/image/rbg_mask/broken_large/017_rbg_mask.png
DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the appearance of the defect?,"A: A small chip.
B: A dent.
C: Irregular, jagged edges.
D: A smooth crack.",C,MVTec-AD/bottle/train/good/168.png,DS-MVTec/bottle/image/rbg_mask/broken_large/017_rbg_mask.png
DS-MVTec/bottle/image/broken_large/018.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/018_rbg_mask.png
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the type of the defect?,"A: Scratch.
B: Discoloration.
C: Broken large.
D: Dent.",C,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/018_rbg_mask.png
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the appearance of the defect?,"A: A small chip on the edge.
B: A smooth and linear crack.
C: An irregular shape with jagged edges.
D: A perfectly round hole.",C,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/018_rbg_mask.png
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the effect of the defect?,"A: Results in a significant portion of the rim being missing or compromised.
B: Creates a visual imperfection but does not affect functionality.
C: Allows the contents to pour out more smoothly.
D: Changes the color of the bottle material.",A,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_large/018_rbg_mask.png
DS-MVTec/bottle/image/broken_large/019.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/019_rbg_mask.png
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. What is the type of the defect?,"A: Stained material.
B: Scratched surface.
C: Incorrect threading.
D: Broken large area.",D,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/019_rbg_mask.png
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. Where is the defect?,"A: Right side of the image.
B: Left side of the image.
C: Center of the image.
D: Bottom of the image.",A,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/019_rbg_mask.png
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. What is the appearance of the defect?,"A: Small cracks.
B: Jagged edges and missing material.
C: Smooth edges and small chip.
D: Colored spots.",B,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/019_rbg_mask.png
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. How does the defect affect the bottle?,"A: Has no effect on the bottle's functionality.
B: Enhances the bottle's appearance.
C: Compromises the integrity of the bottle's opening.
D: Makes the bottle easier to open.",C,MVTec-AD/bottle/train/good/189.png,DS-MVTec/bottle/image/rbg_mask/broken_large/019_rbg_mask.png
DS-MVTec/bottle/image/broken_small/000.png,Is there any defect in the object?,"A: No.
B: Yes.",B,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_small/000_rbg_mask.png
DS-MVTec/bottle/image/broken_small/000.png,There is a defect in the object. What is the type of the defect?,"A: Color inconsistency.
B: Scratches.
C: Small break.
D: Dent.",C,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_small/000_rbg_mask.png
DS-MVTec/bottle/image/broken_small/000.png,There is a defect in the object. Where is the defect?,"A: Outer edge.
B: Center right region.
C: Bottom.
D: Center left region.",D,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_small/000_rbg_mask.png
DS-MVTec/bottle/image/broken_small/000.png,There is a defect in the object. What is the appearance of the defect?,"A: An irregularity in the rim.
B: A hole in the center.
C: A discoloration.
D: A large crack.",A,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_small/000_rbg_mask.png
DS-MVTec/bottle/image/broken_small/000.png,There is a defect in the object. What is the effect of the defect on the bottle?,"A: It seals the bottle's opening.
B: It changes the color of the bottle.
C: It interrupts the continuity of the rim's copper finish.
D: It increases the bottle's capacity.",C,MVTec-AD/bottle/train/good/066.png,DS-MVTec/bottle/image/rbg_mask/broken_small/000_rbg_mask.png
DS-MVTec/bottle/image/broken_small/001.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/007.png,DS-MVTec/bottle/image/rbg_mask/broken_small/001_rbg_mask.png
DS-MVTec/bottle/image/broken_small/001.png,There is a defect in the object. What is the type of the defect?,"A: Stain.
B: Breakage.
C: Discoloration.
D: Deformation.",B,MVTec-AD/bottle/train/good/007.png,DS-MVTec/bottle/image/rbg_mask/broken_small/001_rbg_mask.png
DS-MVTec/bottle/image/broken_small/001.png,There is a defect in the object. Where is the defect?,"A: Bottom right of the rim.
B: Center left of the rim.
C: Center of the bottle opening.
D: Top center of the rim.",B,MVTec-AD/bottle/train/good/007.png,DS-MVTec/bottle/image/rbg_mask/broken_small/001_rbg_mask.png
DS-MVTec/bottle/image/broken_small/001.png,There is a defect in the object. What is the appearance of the defect?,"A: Chipped area.
B: Cracked surface.
C: Scratched rim.
D: Hole in the center.",A,MVTec-AD/bottle/train/good/007.png,DS-MVTec/bottle/image/rbg_mask/broken_small/001_rbg_mask.png
DS-MVTec/bottle/image/broken_small/001.png,There is a defect in the object. How does the defect affect the appearance of the bottle?,"A: It creates a bulge on the rim.
B: It enlarges the bottle opening.
C: It interrupts the reflective surface continuity.
D: It changes the color of the bottle.",C,MVTec-AD/bottle/train/good/007.png,DS-MVTec/bottle/image/rbg_mask/broken_small/001_rbg_mask.png
DS-MVTec/bottle/image/broken_small/002.png,Is there any defect in the object?,"A: Yes.
B: No.",A,MVTec-AD/bottle/train/good/012.png,DS-MVTec/bottle/image/rbg_mask/broken_small/002_rbg_mask.png
DS-MVTec/bottle/image/broken_small/002.png,There is a defect in the object. What is the type of the defect?,"A: Color variation.
B: Staining.
C: Molding error.
D: Chip or break.",D,MVTec-AD/bottle/train/good/012.png,DS-MVTec/bottle/image/rbg_mask/broken_small/002_rbg_mask.png
DS-MVTec/bottle/image/broken_small/002.png,There is a defect in the object. What is the appearance of the defect?,"A: A circular stain.
B: A jagged and broken area.
C: An extra plastic piece.
D: A smooth and rounded dent.",B,MVTec-AD/bottle/train/good/012.png,DS-MVTec/bottle/image/rbg_mask/broken_small/002_rbg_mask.png
